datetime,ghi,temp_air,wind_speed,relative_humidity
2024-01-01 05:30:00+05:30,0.0,19.04,2.06,96.14
2024-01-01 06:30:00+05:30,0.0,18.67,1.9,98.18
2024-01-01 07:30:00+05:30,0.0,18.31,1.85,99.64
2024-01-01 08:30:00+05:30,0.0,17.97,1.92,100.0
2024-01-01 09:30:00+05:30,0.0,17.75,1.99,100.0
2024-01-01 10:30:00+05:30,0.0,17.61,2.03,100.0
2024-01-01 11:30:00+05:30,21.8,18.15,2.15,98.58
2024-01-01 12:30:00+05:30,146.62,20.12,3.49,87.79
2024-01-01 13:30:00+05:30,312.65,22.01,4.01,78.22
2024-01-01 14:30:00+05:30,444.95,23.82,3.82,71.62
2024-01-01 15:30:00+05:30,484.35,25.37,3.48,66.53
2024-01-01 16:30:00+05:30,583.85,26.52,3.09,62.69
2024-01-01 17:30:00+05:30,670.55,27.33,2.61,59.9
2024-01-01 18:30:00+05:30,560.2,27.79,2.06,58.12
2024-01-01 19:30:00+05:30,431.27,27.86,1.72,57.6
2024-01-01 20:30:00+05:30,275.42,27.51,1.71,59.12
2024-01-01 21:30:00+05:30,128.8,26.58,1.69,63.41
2024-01-01 22:30:00+05:30,13.2,24.18,1.55,76.32
2024-01-01 23:30:00+05:30,0.0,22.85,1.77,78.87
2024-01-02 00:30:00+05:30,0.0,22.08,1.87,81.58
2024-01-02 01:30:00+05:30,0.0,21.48,1.91,83.73
2024-01-02 02:30:00+05:30,0.0,20.75,1.99,87.15
2024-01-02 03:30:00+05:30,0.0,20.06,2.02,90.41
2024-01-02 04:30:00+05:30,0.0,19.6,2.03,92.73
2024-01-02 05:30:00+05:30,0.0,19.48,2.05,94.31
2024-01-02 06:30:00+05:30,0.0,19.18,2.02,96.63
2024-01-02 07:30:00+05:30,0.0,18.98,1.95,97.92
2024-01-02 08:30:00+05:30,0.0,18.85,1.99,98.5
2024-01-02 09:30:00+05:30,0.0,18.79,2.08,98.62
2024-01-02 10:30:00+05:30,0.0,18.75,2.21,98.51
2024-01-02 11:30:00+05:30,19.23,19.1,2.66,96.45
2024-01-02 12:30:00+05:30,145.68,20.32,4.07,89.3
2024-01-02 13:30:00+05:30,326.92,21.77,4.49,81.15
2024-01-02 14:30:00+05:30,465.8,23.51,4.3,73.84
2024-01-02 15:30:00+05:30,606.12,24.92,4.05,68.69
2024-01-02 16:30:00+05:30,742.47,25.88,3.74,65.32
2024-01-02 17:30:00+05:30,704.4,26.49,3.35,63.46
2024-01-02 18:30:00+05:30,651.15,26.79,2.94,62.84
2024-01-02 19:30:00+05:30,499.6,26.77,2.57,63.52
2024-01-02 20:30:00+05:30,332.92,26.47,2.15,65.9
2024-01-02 21:30:00+05:30,139.9,25.46,1.87,70.63
2024-01-02 22:30:00+05:30,14.73,23.64,1.49,82.71
2024-01-02 23:30:00+05:30,0.0,22.85,1.69,84.18
2024-01-03 00:30:00+05:30,0.0,22.34,1.87,85.63
